name,ra_deg,dec_deg,redshift,m1450,M1450,disc_ref,disc_bibcode,redshift_ref,redshift_bibcode
J031343.84-180636.40,48.432662,-18.110111,7.6423,20.94,-26.13,Wang2021a,2021ApJ...907L...1W,Wang2021a,2021ApJ...907L...1W
J134208.11+092838.61,205.533772,9.477391,7.54,20.34,-26.71,Banados2018a,2018Natur.553..473B,Banados2019a,2019ApJ...881L..23B
J100758.27+211529.21,151.992773,21.258113,7.5149,20.43,-26.62,Yang2020,2020ApJ...897L..14Y,Yang2020,2020ApJ...897L..14Y
J123616.92+621232.13,189.070498,62.208924,7.1899,23.85,-23.13,Fujimoto2022,2022Natur.604..261F,Fujimoto2022,2022Natur.604..261F
J112001.48+064124.30,170.00616,6.690083,7.0848,20.38,-26.58,Mortlock2011,2011Natur.474..616M,Venemans2020,2020ApJ...904..130V
J124353.93+010038.50,190.974708,1.010694,7.0749,22.82,-24.13,Matsuoka2019b,2019ApJ...872L...2M,Izumi2021b,2021ApJ...914...36I
J003836.10-152723.60,9.650417,-15.456556,7.034,19.93,-27.01,Wang2018,2018ApJ...869L...9W,Yang2021,2021ApJ...923..262Y
J133013.00+423432.20,202.554167,42.575611,7.02,21.36,-25.58,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025,2025ApJS..280...68M
J235646.33+001747.30,359.193042,0.296472,7.01,21.63,-25.31,Matsuoka2019a,2019ApJ...883..183M,Matsuoka2019a,2019ApJ...883..183M
J025216.64-050331.80,43.069333,-5.058833,7.0006,21.17,-25.77,Yang2019b,2019AJ....157..236Y,Wang2024,2024ApJ...968....9W
J041009.05-013919.88,62.537712,-1.655521,6.9964,21.33,-25.61,Banados2025,2025NatAs...9..293B,Banados2024,2024ApJ...977L..46B
J134905.63+015608.90,207.273458,1.935806,6.94,22.09,-24.83,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J131746.92+001722.20,199.4455,0.2895,6.94,22.12,-24.8,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J160953.03+532821.00,242.470958,53.4725,6.92,24.17,-22.75,Matsuoka2019a,2019ApJ...883..183M,Matsuoka2019a,2019ApJ...883..183M
J083946.88+390011.44,129.945333,39.003178,6.905,20.63,-26.29,Wang2019b,2019ApJ...884...30W,Wang2019b,2019ApJ...884...30W
J234833.34-305410.24,357.1389,-30.902844,6.9007,21.17,-25.74,Venemans2013,2013ApJ...779...24V,Venemans2020,2020ApJ...904..130V
J221027.24+030428.50,332.6135,3.074583,6.9,22.47,-24.44,Matsuoka2018b,2018ApJS..237....5M,Matsuoka2018b,2018ApJS..237....5M
J024655.90-521949.90,41.732917,-52.330528,6.8876,21.45,-25.46,Yang2019b,2019AJ....157..236Y,Yang2021,2021ApJ...923..262Y
J142322.01+020612.80,215.841708,2.103556,6.875,22.63,-24.28,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025b,2025ApJ...988...57M
J191730.00+500313.37,289.374982,50.053715,6.856,20.7,-26.2,Belladitta2025,2025A&A...699A.335B,Belladitta2025,2025A&A...699A.335B
J095858.27+013920.20,149.742792,1.655611,6.8532,25.2,-21.7,Endsley2023,2023MNRAS.520.4609E,Endsley2023,2023MNRAS.520.4609E
J140344.28+423114.30,210.9345,42.520639,6.85,22.45,-24.45,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025,2025ApJS..280...68M
J021430.90+023240.40,33.62875,2.544556,6.85,21.55,-25.35,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J221100.60-632055.85,332.752502,-63.348846,6.8449,21.98,-24.92,Yang2019b,2019AJ....157..236Y,Yang2021,2021ApJ...923..262Y
J002031.47-365341.82,5.13113,-36.89495,6.834,19.98,-26.92,Reed2019,2019MNRAS.487.1874R,Reed2019,2019MNRAS.487.1874R
J031941.66-100846.00,49.923583,-10.146111,6.8275,21.19,-25.71,Yang2019b,2019AJ....157..236Y,Yang2021,2021ApJ...923..262Y
J041128.63-090749.70,62.869283,-9.130473,6.826,20.28,-26.62,Wang2019b;Pons2019,2019ApJ...884...30W;2019MNRAS.484.5142P,Yang2021,2021ApJ...923..262Y
J112925.37+184624.33,172.355699,18.773425,6.823,21.08,-25.82,Banados2021,2021ApJ...909...80B,Banados2021,2021ApJ...909...80B
J011257.84+011042.40,18.241,1.178444,6.82,22.83,-24.07,Matsuoka2019a,2019ApJ...883..183M,Matsuoka2019a,2019ApJ...883..183M
J131050.13-005054.10,197.708875,-0.848361,6.82,22.23,-24.67,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J225706.60+053102.40,344.2775,5.517333,6.81,23.02,-23.87,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025,2025ApJS..280...68M
J142903.08-010443.40,217.262833,-1.078722,6.8,23.84,-23.05,Matsuoka2018a,2018PASJ...70S..35M,Matsuoka2018a,2018PASJ...70S..35M
J010953.13-304726.31,17.471379,-30.790642,6.7904,21.3,-25.59,Venemans2013,2013ApJ...779...24V,Venemans2020,2020ApJ...904..130V
J161207.12+555919.20,243.029667,55.988667,6.78,23.87,-23.02,Matsuoka2019a,2019ApJ...883..183M,Matsuoka2019a,2019ApJ...883..183M
J082931.97+411740.40,127.383208,41.294556,6.773,20.52,-26.37,Wang2019b,2019ApJ...884...30W,Wang2019b,2019ApJ...884...30W
J021847.04+000715.17,34.695996,0.120882,6.77,21.34,-25.55,Yang2021;Matsuoka2022,2021ApJ...923..262Y;2022ApJS..259...18M,Yang2021,2021ApJ...923..262Y
J110421.59+213428.80,166.089958,21.574667,6.7662,20.21,-26.67,Wang2019b,2019ApJ...884...30W,Yang2021,2021ApJ...923..262Y
J223942.28+040943.20,339.926167,4.162,6.74,23.81,-23.07,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025,2025ApJS..280...68M
J015851.37+052410.30,29.714042,5.402861,6.73,22.95,-23.92,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025,2025ApJS..280...68M
J091013.65+165630.18,137.556879,16.941717,6.7289,21.3,-25.58,Wang2019b,2019ApJ...884...30W,Yang2021,2021ApJ...923..262Y
J022935.26-080822.94,37.3969,-8.139706,6.7249,20.61,-26.26,Belladitta2025,2025A&A...699A.335B,Wang2024,2024ApJ...968....9W
J024401.02-500853.74,41.00424,-50.14826,6.724,20.15,-26.72,Reed2019,2019MNRAS.487.1874R,Reed2019,2019MNRAS.487.1874R
J120505.10-000027.97,181.271242,-0.007769,6.723,21.38,-25.49,Matsuoka2016,2016ApJ...828...26M,Izumi2021a,2021ApJ...908..235I
J021316.94-062615.25,33.320583,-6.437569,6.7214,21.63,-25.24,Matsuoka2018b,2018ApJS..237....5M,Wang2024,2024ApJ...968....9W
J134400.87+012827.80,206.003625,1.474389,6.72,23.41,-23.46,Matsuoka2019a,2019ApJ...883..183M,Matsuoka2019a,2019ApJ...883..183M
J043043.66-144541.21,67.6819,-14.761448,6.7142,20.89,-25.98,Belladitta2025,2025A&A...699A.335B,Wang2024,2024ApJ...968....9W
J133833.25-001832.90,204.638542,-0.309139,6.7,22.88,-23.99,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J142817.14+045430.38,217.071422,4.90844,6.696,21.11,-25.76,Belladitta2025,2025A&A...699A.335B,Belladitta2025,2025A&A...699A.335B
J000142.54+000057.50,0.42725,0.015972,6.69,22.38,-24.49,Matsuoka2019a,2019ApJ...883..183M,Matsuoka2019a,2019ApJ...883..183M
J123137.77+005230.30,187.907375,0.875083,6.69,22.48,-24.39,Matsuoka2019a,2019ApJ...883..183M,Matsuoka2019a,2019ApJ...883..183M
J200241.59-301321.69,300.673308,-30.222692,6.6876,19.96,-26.91,Yang2021,2021ApJ...923..262Y,Yang2021,2021ApJ...923..262Y
J092359.00+075349.11,140.995821,7.896974,6.6817,21.36,-25.5,Yang2021,2021ApJ...923..262Y,Yang2021,2021ApJ...923..262Y
J113034.65+045013.10,172.644375,4.836972,6.68,22.92,-23.94,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J104819.08-010940.29,162.07951,-1.161192,6.6759,20.9,-25.96,Wang2017,2017ApJ...839...27W,Venemans2020,2020ApJ...904..130V
J225209.17+040243.80,343.038208,4.0455,6.67,22.84,-24.02,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J223255.15+293032.24,338.229808,29.508955,6.666,20.78,-26.08,Venemans2015a,2015ApJ...801L..11V,Mazzucchelli2017,2017ApJ...849...91M
J210219.23-145853.87,315.580112,-14.981629,6.6645,21.36,-25.5,Wang2019b,2019ApJ...884...30W,Yang2021,2021ApJ...923..262Y
J091041.14+005646.30,137.671417,0.946194,6.65,22.31,-24.55,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J121627.58+451910.70,184.114917,45.319639,6.648,21.27,-25.59,Wang2019b,2019ApJ...884...30W,Yang2021,2021ApJ...923..262Y
J083737.83+492900.60,129.407625,49.4835,6.6452,20.53,-26.33,Wang2019b,2019ApJ...884...30W,Wang2024,2024ApJ...968....9W
J225810.01+035345.30,344.541708,3.895917,6.64,20.75,-26.1,Matsuoka2025,2025ApJS..280...68M,Matsuoka2025,2025ApJS..280...68M
J091054.53-041406.80,137.727208,-4.235222,6.6363,20.49,-26.36,Wang2019b,2019ApJ...884...30W,Yang2021,2021ApJ...923..262Y
J092347.12+040254.40,140.946333,4.048444,6.633,20.67,-26.18,Matsuoka2018b,2018ApJS..237....5M,Yang2021,2021ApJ...923..262Y
J145005.39-014438.90,222.522458,-1.744139,6.63,23.12,-23.73,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J103537.74+032435.70,158.90725,3.409917,6.63,22.34,-24.51,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J102314.45-004447.90,155.810208,-0.746639,6.63,22.38,-24.47,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J002429.77+391318.97,6.12405,39.221936,6.621,20.0,-26.85,Tang2017,2017MNRAS.466.4568T,Mazzucchelli2017,2017ApJ...849...91M
J091906.33+051235.30,139.776375,5.209806,6.62,22.87,-23.98,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J030516.92-315055.90,46.320483,-31.848861,6.6139,20.72,-26.13,Venemans2013,2013ApJ...779...24V,Venemans2019,2019ApJ...874L..30V
J070626.39+292105.50,106.609958,29.351528,6.6037,19.33,-27.52,Wang2019b,2019ApJ...884...30W,Yang2021,2021ApJ...923..262Y
J233624.69+184248.71,354.102895,18.713531,6.6,22.53,-24.32,Gloudemans2022,2022A&A...668A..27G,Gloudemans2022,2022A&A...668A..27G
J213233.19+121755.26,323.138286,12.298682,6.5872,19.78,-27.06,Mazzucchelli2017,2017ApJ...849...91M,Venemans2020,2020ApJ...904..130V
J152637.84-205000.66,231.657658,-20.833517,6.5869,19.7,-27.14,Mazzucchelli2017,2017ApJ...849...91M,Venemans2020,2020ApJ...904..130V
J113508.93+501133.00,173.787208,50.1925,6.5851,20.65,-26.19,Wang2019b,2019ApJ...884...30W,Yang2021,2021ApJ...923..262Y
J105807.72+293041.73,164.532185,29.511591,6.5846,21.16,-25.68,Yang2021,2021ApJ...923..262Y,Yang2021,2021ApJ...923..262Y
J233807.03+214358.18,354.529301,21.732827,6.565,21.18,-25.66,Yang2021,2021ApJ...923..262Y,Yang2021,2021ApJ...923..262Y
J092120.56+000722.90,140.335667,0.123028,6.5646,22.05,-24.79,Matsuoka2018b,2018ApJS..237....5M,Yang2021,2021ApJ...923..262Y
J144045.91+001912.90,220.191292,0.32025,6.55,23.6,-23.23,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J111427.15+021517.60,168.613125,2.254889,6.55,22.08,-24.75,Matsuoka2022,2022ApJS..259...18M,Matsuoka2022,2022ApJS..259...18M
J022601.88+030259.40,36.507814,3.049832,6.5405,19.55,-27.28,Venemans2015a,2015ApJ...801L..11V,Venemans2020,2020ApJ...904..130V
